FID;ID;Type;Diameter;Material;LENGTH_GEO;START_X;START_Y;MID_X;MID_Y;END_X;END_Y;INSIDE_X;INSIDE_Y
97;98;Tertiary;Φ80;UPVC Pipe;19,727183231400002;25,130941892700001;35,334283841999998;25,131049430299999;35,334295608200001;25,131156967999999;35,334307374399998;25,131049430299999;35,334295608200001
98;99;Tertiary;Φ80;UPVC Pipe;31,668256531800001;25,131156967999999;35,334307374399998;25,131202440300001;35,334169606400003;25,131247912599999;35,334031838300000;25,131202440300001;35,334169606400003
99;100;Secondary;Φ90;Asbestos Cement pipe;12,412357483199999;25,132049493800000;35,334322693499999;25,132075986299999;35,334271139499997;25,132102478800000;35,334219585600003;25,132075986299999;35,334271139499997
100;101;Tertiary;Φ80;UPVC Pipe;20,935379701700001;25,132737746099998;35,334319029500001;25,132717658699999;35,334226127699999;25,132697571300000;35,334133225800002;25,132717658699999;35,334226127699999
101;102;Tertiary;Φ80;UPVC Pipe;17,694699343200000;25,132697571300000;35,334133225800002;25,132600277400002;35,334134843100003;25,132502983399998;35,334136460400003;25,132600277400002;35,334134843100003
102;103;Secondary;Φ50;Ductile iron pipe;22,808383575000001;25,131733895400000;35,334329782300003;25,131726931199999;35,334227151100002;25,131719966999999;35,334124519800000;25,131726931199999;35,334227151100002
103;104;Secondary;Φ50;Ductile iron pipe;13,651041912000000;25,131719966999999;35,334124519800000;25,131699305600002;35,334065374700003;25,131678644200001;35,334006229700002;25,131699305600002;35,334065374700003
104;105;Tertiary;Φ75;Ductile iron pipe;20,155012316299999;25,132049493800000;35,334322693499999;25,131938779100000;35,334327095299997;25,131828064299999;35,334331497100003;25,131938779100000;35,334327095299997
105;106;Tertiary;Φ75;Ductile iron pipe;8,563514071209999;25,131828064299999;35,334331497100003;25,131780979900000;35,334330639699999;25,131733895400000;35,334329782300003;25,131780979900000;35,334330639699999
106;107;Tertiary;Φ125;UPVC Pipe;21,765251256700001;25,132505099199999;35,334332630200002;25,132504041299999;35,334234545299999;25,132502983399998;35,334136460400003;25,132504041299999;35,334234545299999
107;108;Tertiary;Φ80;UPVC Pipe;21,204916569700000;25,132505099199999;35,334332630200002;25,132621422700002;35,334325829900003;25,132737746099998;35,334319029500001;25,132621422700002;35,334325829900003
108;109;Tertiary;Φ130;Asbestos Cement pipe;27,988629652800000;25,129897789600001;35,334387096400000;25,129753201000000;35,334343830900004;25,129608612500000;35,334300565299998;25,129753201000000;35,334343830900004
109;110;Tertiary;Φ130;Asbestos Cement pipe;4,439851124820000;25,129608612500000;35,334300565299998;25,129592044300001;35,334285867399998;25,129575475999999;35,334271169600001;25,129592044300001;35,334285867399998
110;111;Tertiary;Φ75;UPVC Pipe;3,707387981780000;25,129897789600001;35,334387096400000;25,129897890300001;35,334370388700002;25,129897991000000;35,334353680900001;25,129897890300001;35,334370388700002
111;112;Tertiary;Φ75;UPVC Pipe;36,149723720200001;25,129897991000000;35,334353680900001;25,129961652300000;35,334199344300004;25,130025313600001;35,334045007599997;25,129961652300000;35,334199344300004
112;113;Tertiary;Φ75;UPVC Pipe;13,328539869400000;25,130025313600001;35,334045007599997;25,130089047799999;35,334015336000000;25,130152781900001;35,333985664399997;25,130089047799999;35,334015336000000
113;114;Secondary;Φ100;UPVC Pipe;19,576521615200001;25,130564436099998;35,334383935200002;25,130595727500001;35,334299518800002;25,130627018900000;35,334215102400002;25,130595727500001;35,334299518800002
